fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,fixed acidity_scaled,volatile acidity_scaled,citric acid_scaled,residual sugar_scaled,chlorides_scaled,free sulfur dioxide_scaled,total sulfur dioxide_scaled,density_scaled,pH_scaled,sulphates_scaled,alcohol_scaled,quality
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,0.3394498590546695,-1.6914672645466813,1.0624297860057867,-0.535131623682169,-0.22536294519128952,1.2550188347616718,0.4174165486396239,0.04873718632654597,0.5175750103215091,-0.7544070711000244,-0.9543742892850674,6
7.6,0.39,0.31,2.3,0.0819999999999999,23.0,71.0,0.9982,3.52,0.65,9.7,-0.40924685254568716,-0.7623225545551937,0.1927070397053229,-0.16525883526590046,-0.12406366540199364,0.6804947173887393,0.7592433829639549,0.7981098281946787,1.356396926416372,-0.051024159002420445,-0.6770246740252962,5
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,-0.23647068833021995,-0.5437002698513144,-0.3188945757655383,-0.6830807390486765,0.36217287758663746,-0.5643075369192809,-0.29731228676579546,-0.05831604822603592,-0.9019697707621074,1.472972150542388,-0.8619244175318104,5
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,0.10908164010071351,-0.2157668427954953,-0.8304961912363995,-0.16525883526590046,-0.08354395348627253,-0.6600615564814363,0.6349427159369254,0.04873718632654597,-0.9019697707621074,-0.7544070711000244,-0.9543742892850674,5
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,-0.8123912357151094,-0.7076669833792237,-0.677015706595141,-0.09128427758264665,-0.06328409752841295,0.48898667826442854,-0.2040867864955234,0.04873718632654597,0.7756740614276212,-0.1682546443520212,-0.6770246740252962,6
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,-1.1579435641460434,-0.7623225545551937,-0.5746953835009688,-0.8310298544151842,-0.1645833773177108,-0.46855351735712547,-0.7323646213603986,-0.6471088382652957,0.19495119643886757,-0.5785613430756232,-1.0468241610383244,5
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,-0.40924685254568716,-0.6530114122032542,-0.16541409112427993,-0.535131623682169,-0.1645833773177108,-1.1388316542922132,-1.1052666224414869,-0.27242251733125916,-0.19219738022030056,-0.4027156150512227,-0.8619244175318104,5
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,-0.6972071262381319,0.9866557230758413,-1.3932579682543467,-0.4611570659989154,-0.1645833773177108,-0.18129145867065927,-0.3594626202793102,0.2628436554317098,1.0337731125337333,-0.6371765857504236,-0.9543742892850674,5
7.8,0.645,0.0,2.0,0.0819999999999999,8.0,16.0,0.9964,3.38,0.59,9.8,-0.2940627430687092,0.6313945104320375,-1.3932579682543467,-0.3871825083156616,-0.12406366540199364,-0.7558155760435917,-0.9498907886577002,-0.16536928277867724,0.4530502475449797,-0.4027156150512227,-0.5845748022720374,6
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,-0.9275753451920874,0.7953612239599472,-1.0351368374247438,-0.09128427758264665,0.01775532630302505,0.10597060001580692,1.1010702172882858,-0.48652898643642295,0.259475959215397,-0.6957918284252239,-0.30722518701226614,5
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,-0.8123912357151094,0.8500167951359171,-1.3932579682543467,-0.017309719899392832,0.3419130216287779,0.5847406978265839,-0.29731228676579546,-0.05831604822603592,0.9692483497572039,-0.5199461004008235,0.15502417175402095,6
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,-0.0061024693762639646,0.6860500816080074,-0.7793360296893133,-0.16525883526590046,-0.10380380944413209,-0.08553743910850388,2.064400386747764,-0.05831604822603592,-0.9019697707621074,0.007591083672379936,-0.5845748022720374,5
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,-0.8123912357151094,0.4127722257281579,-0.7793360296893133,6.0486040101274146,-0.3064023690227278,2.3083130499453812,1.1321453840450433,1.3869026182339386,0.9047235869806772,-0.8130223137748247,-0.9543742892850674,6
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,-1.7914561662694215,-1.1449115527869826,-0.11425392957719378,-0.535131623682169,0.3013933097130588,-0.27704547823281467,0.10666488107205026,-0.5400556037127139,0.4530502475449797,-0.6371765857504236,-1.1392740327915833,5
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,-0.2940627430687092,0.6313945104320375,-1.3932579682543467,2.2019270105982196,-0.043024241570553665,-1.0430776347300579,-0.8877404551441854,1.0122162972999018,0.5820997730980357,-0.6371765857504236,-0.7694745457785532,6
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,-0.2940627430687092,0.385444440140173,-0.677015706595141,-0.09128427758264665,-0.043024241570553665,-1.2345856738543688,-0.9809659554144575,0.42342350726064204,0.7111492986510918,-0.3441003723764223,0.3399239152605368,6
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,-0.12128657885324247,-0.8169781257311636,0.039226555064064694,-0.3132079506324078,-0.4482213607277445,-0.27704547823281467,-0.514838454063097,0.04873718632654597,-0.5148211941029393,0.4178977823959819,-0.6770246740252962,7
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,-1.5034958925769768,3.2821897124665744,-0.9328165143305717,-0.7570552967319304,1.6993233708053677,-0.8515695956057471,-0.8566652883874281,-1.4500080974097789,1.2273474008633158,-1.0474832844740263,-0.5845748022720374,4
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,-0.5820230167611539,-0.4343891274993746,0.4485078474407534,2.497825241331235,-0.2861425130648682,-0.37279949779497007,1.2564460510720727,0.5840033590895148,0.130426433662341,1.0040502091439851,0.06257430000076386,5
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,0.28185780431618074,0.44010001131614285,0.14154687815823674,0.2046139531503683,-0.0025045296548345205,0.10597060001580692,-0.017635785954979197,0.476950124536933,-0.32124690577335663,-0.871637556449625,-1.0468241610383244,4
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,-0.46683890728417593,-0.2157668427954953,-0.3700547373126243,0.056664837783860986,4.9409003240628975,-0.7558155760435917,-1.012041122171215,0.04873718632654597,-0.6438707196559953,1.4143569078675877,0.06257430000076386,6
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,-0.12128657885324247,0.7133778671959924,-0.2677344142184521,-0.23923339294915397,-0.3874417928541658,-0.6600615564814363,-0.7323646213603986,0.04873718632654597,-0.06314785466724451,3.172814188111597,-0.12232544350575032,5
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,-0.8699832904535987,0.7680334383719623,-1.2909376451601744,-0.535131623682169,-0.7723790560534973,-1.0430776347300579,-1.1052666224414869,-0.27242251733125916,1.09829787531026,-0.8130223137748247,-0.8619244175318104,5
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,-2.1370084947003556,-0.05180012926758561,-0.625855545048055,-0.3132079506324078,-0.6913396322220592,-0.7558155760435917,0.5727923824234107,-1.771167801067584,3.808337911924434,-0.5785613430756232,2.466270965585456,4
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,-0.35165479780719794,2.2164060745351635,0.8066289782703563,-0.23923339294915397,0.524251725249514,0.5847406978265839,2.0954755535045217,0.15579042087912787,-0.3857716685498832,0.4178977823959819,-1.1392740327915833,5
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,0.224265749577691,-1.3088782663148923,1.2670704321941315,-0.6830807390486765,0.5039918692916545,-0.37279949779497007,-0.29731228676579546,0.10226380360283692,-0.3857716685498832,-0.4613308577260231,-0.8619244175318104,5
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,-1.100351509407554,-0.7076669833792237,-0.21657425267136596,-0.6830807390486765,-0.4482213607277445,-1.0430776347300579,-1.0741914556847296,-0.48652898643642295,0.19495119643886757,-0.5785613430756232,-1.1392740327915833,5
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,-1.561087947315466,-1.1995671239629526,0.4996680089878396,-0.8310298544151842,-0.2861425130648682,-0.37279949779497007,1.536122551882889,-0.7006354555416462,0.06590167088581153,-0.4613308577260231,-1.1392740327915833,5
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,0.28185780431618074,0.7133778671959924,-0.06309376803010762,-0.6091061813654229,-0.2861425130648682,-1.1388316542922132,-0.7323646213603986,0.20931703815541883,-1.0310192963151634,0.4765130250707823,-1.1392740327915833,5
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,-0.9851673999305766,-0.05180012926758561,-1.1886173220660021,-0.23923339294915397,-0.3874417928541658,-0.7558155760435917,-0.9809659554144575,-0.5935822209890048,0.5820997730980357,-0.1682546443520212,-0.9543742892850674,6
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,-0.9851673999305766,-0.1611112716195254,-1.1886173220660021,-0.3132079506324078,-0.40770164881202536,-0.9473236151679025,-1.012041122171215,-0.6471088382652957,0.5175750103215091,-0.10963940167722082,-0.9543742892850674,6
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,0.16667369483920225,-0.8169781257311636,0.4485078474407534,0.3525630685168759,-0.14432352135985124,1.350772854323827,2.2508513872883085,0.15579042087912787,-0.7083954824325219,-0.5785613430756232,-0.9543742892850674,5
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,-0.40924685254568716,-0.10645570044355551,-0.625855545048055,0.2046139531503683,0.44321230141807577,1.6380349130102936,0.8213937164774696,-0.6471088382652957,-0.9019697707621074,-0.1682546443520212,-0.21477531525900906,6
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,-0.35165479780719794,0.49475558249211277,-1.1886173220660021,0.9443595299829058,-0.08354395348627253,0.8720027565130501,-0.04871095271173656,0.5840033590895148,0.19495119643886757,-0.7544070711000244,-0.8619244175318104,5
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,1.088146570655025,-0.5983558410272842,1.5228712399295616,0.6484612992498909,-0.36718193689630624,-1.1388316542922132,-1.1363417891982444,0.20931703815541883,-1.7407916868569702,-0.1682546443520212,-0.7694745457785532,5
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,-0.46683890728417593,0.5494111536680827,-0.7793360296893133,1.9060287798652045,0.46347215737593533,3.265853245566935,1.971174886477492,0.8516364454709696,-0.32124690577335663,0.6523587530951834,-0.9543742892850674,5
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,-0.2940627430687092,0.33078886896420306,-0.4723750604067966,-0.16525883526590046,-0.24562280114914908,0.10597060001580692,0.2309655480990797,0.42342350726064204,0.7756740614276212,-0.4027156150512227,-0.39967505876552323,5
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,-0.5820230167611539,-0.7623225545551937,0.1927070397053229,-0.09128427758264665,-0.2861425130648682,-0.6600615564814363,-0.017635785954979197,-0.27242251733125916,0.6466245358745651,-0.6957918284252239,-0.9543742892850674,6
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,0.28185780431618074,-0.7076669833792237,0.6531484936290981,-0.23923339294915397,-0.18484323327557037,0.29747863914011774,0.16881521458556498,0.6910565936420968,0.8401988242041478,-0.10963940167722082,-1.1392740327915833,5
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,-0.35165479780719794,0.8773445807239014,1.113589947552873,-0.535131623682169,0.5445115812073736,0.39323265870227314,2.033325219991007,0.04873718632654597,-0.6438707196559953,0.3006672970463812,-1.0468241610383244,5
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,-0.46683890728417593,-0.05180012926758561,-0.5746953835009688,-0.4611570659989154,-0.06328409752841295,-0.37279949779497007,-0.3594626202793102,0.04873718632654597,0.4530502475449797,-0.22686988702682157,-0.8619244175318104,7
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,-0.7547991809766207,1.123294651015766,-1.137457160518916,-0.3871825083156616,-0.14432352135985124,-0.27704547823281467,0.2309655480990797,-0.05831604822603592,0.5175750103215091,-0.5199461004008235,-0.5845748022720374,5
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,-0.6396150714996427,1.068639079839796,-1.137457160518916,1.5731432702905632,-0.043024241570553665,-1.1388316542922132,-1.1052666224414869,-0.27242251733125916,0.6466245358745651,-1.5750204685472289,0.43237378701379386,5
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,-0.46683890728417593,-0.05180012926758561,-0.8304961912363995,-0.7570552967319304,-0.18484323327557037,-0.46855351735712547,-0.23516195325228073,0.04873718632654597,0.7111492986510918,-0.4613308577260231,-0.7694745457785532,5
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,-0.9851673999305766,0.9593279374878563,-1.0351368374247438,-0.6830807390486765,-0.24562280114914908,-0.9473236151679025,-0.9809659554144575,-0.27242251733125916,0.8401988242041478,-0.4613308577260231,0.24747404350727803,5
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,0.5698180780086255,-1.1449115527869826,1.5228712399295616,-0.3871825083156616,-0.2861425130648682,1.0635107956373608,0.5727923824234107,0.10226380360283692,-0.19219738022030056,0.7695892384447842,0.24747404350727803,5
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,-0.1788786335917312,0.9593279374878563,-1.137457160518916,-0.4611570659989154,-0.2861425130648682,-0.7558155760435917,-0.8566652883874281,-0.27242251733125916,0.19495119643886757,1.707433121241589,0.06257430000076386,6
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,-0.35165479780719794,0.5494111536680827,-0.9839766758776577,-0.4611570659989154,-0.24562280114914908,-0.08553743910850388,-0.6080639543333691,-0.004789430949744973,0.06590167088581153,-0.6957918284252239,-0.8619244175318104,6
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,-0.35165479780719794,0.7680334383719623,-0.21657425267136596,-0.3132079506324078,-0.0025045296548345205,0.10597060001580692,1.536122551882889,-0.27242251733125916,0.06590167088581153,-1.0474832844740263,-0.8619244175318104,5
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,-0.35165479780719794,0.8773445807239014,-0.2677344142184521,-0.4611570659989154,-0.08354395348627253,0.20172461957796234,1.4739722183693742,-0.3259491346075501,0.0013769081092849425,-1.0474832844740263,-0.8619244175318104,5
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,-0.0061024693762639646,0.7953612239599472,-0.06309376803010762,-0.3132079506324078,-0.08354395348627253,-0.46855351735712547,-0.1108612862252513,0.476950124536933,0.0013769081092849425,-0.7544070711000244,-1.1392740327915833,4
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,0.8001862969625804,-1.1449115527869826,1.3693907552883038,-0.017309719899392832,0.1190546060923229,1.1592648151995164,1.1321453840450433,0.9051630627472605,-0.19219738022030056,0.9454349664691847,-0.7694745457785532,5
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,0.28185780431618074,-0.6530114122032542,1.8809923707591647,-0.23923339294915397,0.09879475013446333,-0.6600615564814363,-0.14193645298200866,1.0122162972999018,1.485446451969428,0.007591083672379936,0.06257430000076386,5
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,-0.8699832904535987,1.3965725068956154,-1.3932579682543467,-0.09128427758264665,0.32165316567091834,-0.18129145867065927,-0.514838454063097,-0.05831604822603592,1.356396926416372,-0.6371765857504236,0.24747404350727803,6
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,-0.9275753451920874,1.2052780077797207,-0.7793360296893133,-0.3871825083156616,-0.043024241570553665,-0.37279949779497007,1.038919883774771,-0.48652898643642295,0.4530502475449797,-0.8130223137748247,-0.30722518701226614,5
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,-0.0061024693762639646,0.5220833680800977,-0.3700547373126243,-0.7570552967319304,-0.1645833773177108,1.0635107956373608,2.2508513872883085,0.2628436554317098,-0.966494533538634,2.7038922467131954,-1.2317239045448403,4
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,-1.215535618884532,-0.4343891274993746,-0.3700547373126243,-0.6830807390486765,-0.3874417928541658,-1.2345856738543688,-0.9809659554144575,-0.48652898643642295,0.6466245358745651,-0.5785613430756232,-1.1392740327915833,5
7.8,0.43,0.7,1.9,0.4639999999999999,22.0,67.0,0.9974,3.13,1.28,9.4,-0.2940627430687092,-0.5437002698513144,2.1879533400416813,-0.4611570659989154,7.615201310500356,0.5847406978265839,0.6349427159369254,0.36989688998429165,-1.1600688218682194,3.64173612951,-0.9543742892850674,5
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,-0.5244309620226647,-0.1611112716195254,1.0112696244587007,-0.3871825083156616,-0.043024241570553665,0.48898667826442854,0.8213937164774696,0.15579042087912787,0.32400072199192365,-0.5199461004008235,-1.2317239045448403,5
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,-0.5820230167611539,0.7680334383719623,-0.06309376803010762,-0.535131623682169,6.338830385155206,0.010216580453651524,0.1377400478288076,0.10226380360283692,-0.966494533538634,2.8211227320627947,-0.9543742892850674,5
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,-1.1579435641460434,-1.2542226951389224,1.0624297860057867,-0.535131623682169,-0.3874417928541658,0.20172461957796234,0.4484917153963813,-0.43300236916013196,0.8401988242041478,0.7109739957699838,-0.12232544350575032,6
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,-0.8123912357151094,0.11216658426032408,-0.625855545048055,-0.23923339294915397,-0.24562280114914908,0.29747863914011774,-0.2040867864955234,-0.3259491346075501,0.6466245358745651,-0.4027156150512227,-0.30722518701226614,5
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,0.16667369483920225,-0.2157668427954953,0.039226555064064694,-0.4611570659989154,0.44321230141807577,0.39323265870227314,2.7791292221531836,0.2628436554317098,-2.450564077398777,7.568957388721621,-0.4921249305187803,6
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,-0.35165479780719794,-0.2157668427954953,-0.06309376803010762,-0.4611570659989154,-0.5292607845591828,-0.6600615564814363,-0.48376328730633966,-0.05831604822603592,0.5175750103215091,-0.10963940167722082,-0.7694745457785532,5
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,0.5698180780086255,-0.7623225545551937,0.8577891398174424,-0.3132079506324078,0.382432733544497,1.733788932572449,2.4373023878288524,0.5840033590895148,-1.09554405909169,3.290044673461198,-0.8619244175318104,5
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,-0.7547991809766207,0.49475558249211277,-0.9839766758776577,-0.535131623682169,-0.24562280114914908,-0.7558155760435917,-0.7012894546036412,0.5840033590895148,1.09829787531026,-0.7544070711000244,-1.3241737762980974,5
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,-0.23647068833021995,-0.05180012926758561,-0.06309376803010762,-0.4611570659989154,-0.18484323327557037,2.499821089069692,2.903429889180213,-0.16536928277867724,-0.5148211941029393,-0.6957918284252239,-0.8619244175318104,5
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,0.16667369483920225,-0.2157668427954953,0.09038671661115057,-0.3871825083156616,0.44321230141807577,0.29747863914011774,2.6859037218829114,0.2628436554317098,-2.450564077398777,7.744803116746023,-0.5845748022720374,5
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,-1.9066402757463996,2.680978429530907,-1.1886173220660021,-0.8310298544151842,-0.8736783358427952,2.4040670695075366,1.194295717558558,-1.5570613319623607,2.840466470276515,-1.0474832844740263,0.06257430000076386,4
4.7,0.6,0.17,2.3,0.0579999999999999,17.0,106.0,0.9932,3.85,0.6,12.9,-2.079416439961866,0.385444440140173,-0.5235352219538827,-0.16525883526590046,-0.610300208390623,0.10597060001580692,1.8468742194504626,-1.8782210356201658,3.4857140980417953,-0.3441003723764223,2.2813712220789424,6
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,-0.8699832904535987,1.3419169357196457,-1.3932579682543467,0.3525630685168759,0.2811334537551992,-0.7558155760435917,-0.7323646213603986,-0.11184266550232687,0.9047235869806772,-0.5785613430756232,0.24747404350727803,5
